camera,path,label,split,Latitude,Longitude,Month,Hour,category,prediction
6798,/gpfs/scratch/hc4549/weather/6798/20130629_135358.jpg,59,train,28.7540844,-17.8861498,6,14,Medium,
17244,/gpfs/scratch/hc4549/weather/17244/20130814_213556.jpg,60,train,19.1998222193,-96.1388478948,8,14,Medium,
4801,/gpfs/scratch/hc4549/weather/4801/20110327_094004.jpg,38,train,49.1,10.75,3,12,Many,
18590,/gpfs/scratch/hc4549/weather/18590/20130720_003924.jpg,52,train,33.7497447444,-84.3883686381,7,17,Many,
19834,/gpfs/scratch/hc4549/weather/19834/20140524_210242.jpg,58,train,28.2441768,-82.7192671,5,11,Many,
3396,/gpfs/scratch/hc4549/weather/3396/20130819_053839.jpg,49,train,49.7724798,9.9584878,8,8,Many,
623,/gpfs/scratch/hc4549/weather/623/20131215_071155.jpg,36,train,29.272958,-94.85084,12,0,Many,
162,/gpfs/scratch/hc4549/weather/162/20140306_060832.jpg,22,train,41.9797,-88.4061,3,0,Medium,
3888,/gpfs/scratch/hc4549/weather/3888/20130228_204227.jpg,37,train,42.2480919,3.1227702,2,21,Many,
10917,/gpfs/scratch/hc4549/weather/10917/20111209_162406.jpg,36,train,47.3645089866,7.15401294173,12,14,Many,
260,/gpfs/scratch/hc4549/weather/260/20130617_164456.jpg,57,train,39.6421,-78.9125,6,13,Many,
3396,/gpfs/scratch/hc4549/weather/3396/20130406_010840.jpg,30,train,49.7724798,9.9584878,4,1,Many,
5021,/gpfs/scratch/hc4549/weather/5021/20130528_001630.jpg,49,train,-30.0343080145,-51.2312634505,5,22,Many,
10917,/gpfs/scratch/hc4549/weather/10917/20110908_142406.jpg,45,train,47.3645089866,7.15401294173,9,12,Many,
861,/gpfs/scratch/hc4549/weather/861/20140812_133557.jpg,43,train,36.0579,-112.1255,8,5,Many,
9483,/gpfs/scratch/hc4549/weather/9483/20131012_005408.jpg,34,train,50.1065184167,8.67800682695,10,4,Many, 
6798,/gpfs/scratch/hc4549/weather/6798/20130728_070954.jpg,51,train,28.7540844,-17.8861498,7,7,Many,
4584,/gpfs/scratch/hc4549/weather/4584/20130722_223645.jpg,58,train,37.9843530112,23.7326566772,7,0,Many,
684,/gpfs/scratch/hc4549/weather/684/20140225_224152.jpg,36,train,37.2979,-79.9877,2,16,Many,
17244,/gpfs/scratch/hc4549/weather/17244/20130225_083551.jpg,48,train,19.1998222193,-96.1388478948,2,5,Many,
623,/gpfs/scratch/hc4549/weather/623/20130119_051157.jpg,43,train,29.272958,-94.85084,1,20,Many,
684,/gpfs/scratch/hc4549/weather/684/20130722_201152.jpg,60,train,37.2979,-79.9877,7,12,Medium,
3837,/gpfs/scratch/hc4549/weather/3837/20130901_012220.jpg,44,train,47.0675219,7.0999358,9,2,Many,
3837,/gpfs/scratch/hc4549/weather/3837/20131117_065212.jpg,34,train,47.0675219,7.0999358,11,6,Many,
19106,/gpfs/scratch/hc4549/weather/19106/20130817_103648.jpg,44,train,46.82261667,-71.21337891,8,8,Many,
5020,/gpfs/scratch/hc4549/weather/5020/20130815_194543.jpg,42,train,-30.0342535017,-51.2312071242,8,20,Many,
4584,/gpfs/scratch/hc4549/weather/4584/20131224_020650.jpg,37,train,37.9843530112,23.7326566772,12,0,Many,
10917,/gpfs/scratch/hc4549/weather/10917/20120611_112406.jpg,40,train,47.3645089866,7.15401294173,6,9,Many,
9730,/gpfs/scratch/hc4549/weather/9730/20130203_085701.jpg,51,train,-34.5806593772,-58.4284707051,2,9,Many,
861,/gpfs/scratch/hc4549/weather/861/20140627_230551.jpg,57,train,36.0579,-112.1255,6,12,Many,
10917,/gpfs/scratch/hc4549/weather/10917/20130619_112417.jpg,55,train,47.3645089866,7.15401294173,6,9,Many,
3837,/gpfs/scratch/hc4549/weather/3837/20130821_222222.jpg,48,train,47.0675219,7.0999358,8,20,Many,
6798,/gpfs/scratch/hc4549/weather/6798/20131024_002400.jpg,54,train,28.7540844,-17.8861498,10,20,Many,
204,/gpfs/scratch/hc4549/weather/204/20140111_154949.jpg,33,train,41.702494694,-86.2378195222,1,9,Many,
4181,/gpfs/scratch/hc4549/weather/4181/20130802_134650.jpg,55,train,32.231328037,-110.946649929,8,5,Many,
10917,/gpfs/scratch/hc4549/weather/10917/20130404_135417.jpg,38,train,47.3645089866,7.15401294173,4,16,Many,
8733,/gpfs/scratch/hc4549/weather/8733/20130317_050643.jpg,31,train,47.441685,8.620672,3,2,Many,
19834,/gpfs/scratch/hc4549/weather/19834/20140624_103248.jpg,56,train,28.2441768,-82.7192671,6,2,Many,
4679,/gpfs/scratch/hc4549/weather/4679/20140511_184025.jpg,37,train,49.5847611497,9.36662846022,5,21,Many,
162,/gpfs/scratch/hc4549/weather/162/20131030_073835.jpg,40,train,41.9797,-88.4061,10,0,Many,
10917,/gpfs/scratch/hc4549/weather/10917/20110903_045406.jpg,42,train,47.3645089866,7.15401294173,9,7,Many,
17244,/gpfs/scratch/hc4549/weather/17244/20131110_123552.jpg,53,train,19.1998222193,-96.1388478948,11,8,Many,
17244,/gpfs/scratch/hc4549/weather/17244/20130307_133552.jpg,47,train,19.1998222193,-96.1388478948,3,6,Many,
19106,/gpfs/scratch/hc4549/weather/19106/20130823_170645.jpg,50,train,46.82261667,-71.21337891,8,13,Many,
17218,/gpfs/scratch/hc4549/weather/17218/20130917_214023.jpg,40,train,44.08473,-66.1834478,9,20,Many,
17244,/gpfs/scratch/hc4549/weather/17244/20130726_160551.jpg,53,train,19.1998222193,-96.1388478948,7,7,Many,
18590,/gpfs/scratch/hc4549/weather/18590/20130308_080937.jpg,34,train,33.7497447444,-84.3883686381,3,0,Many,
8733,/gpfs/scratch/hc4549/weather/8733/20131126_213643.jpg,29,train,47.441685,8.620672,11,21,Medium,
684,/gpfs/scratch/hc4549/weather/684/20120920_034144.jpg,48,train,37.2979,-79.9877,9,21,Many,
18590,/gpfs/scratch/hc4549/weather/18590/20120911_103918.jpg,50,train,33.7497447444,-84.3883686381,9,3,Many,
162,/gpfs/scratch/hc4549/weather/162/20130216_180833.jpg,21,train,41.9797,-88.4061,2,8,Medium,
18590,/gpfs/scratch/hc4549/weather/18590/20131028_193922.jpg,47,train,33.7497447444,-84.3883686381,10,12,Many,
4584,/gpfs/scratch/hc4549/weather/4584/20131113_023656.jpg,44,train,37.9843530112,23.7326566772,11,3,Many,
204,/gpfs/scratch/hc4549/weather/204/20140421_061951.jpg,44,train,41.702494694,-86.2378195222,4,0,Many,
11160,/gpfs/scratch/hc4549/weather/11160/20130804_122310.jpg,51,train,46.948,7.44815,8,10,Many,
162,/gpfs/scratch/hc4549/weather/162/20130810_150832.jpg,45,train,41.9797,-88.4061,8,5,Many,
5020,/gpfs/scratch/hc4549/weather/5020/20130918_201542.jpg,45,train,-30.0342535017,-51.2312071242,9,18,Many,
9483,/gpfs/scratch/hc4549/weather/9483/20130722_235410.jpg,49,train,50.1065184167,8.67800682695,7,3,Many,
3297,/gpfs/scratch/hc4549/weather/3297/20130819_130126.jpg,46,train,49.7522678667,-125.296347435,8,5,Many,
4801,/gpfs/scratch/hc4549/weather/4801/20111024_161001.jpg,43,train,49.1,10.75,10,16,Many,
684,/gpfs/scratch/hc4549/weather/684/20140113_094143.jpg,29,train,37.2979,-79.9877,1,3,Medium,
3396,/gpfs/scratch/hc4549/weather/3396/20140704_060836.jpg,46,train,49.7724798,9.9584878,7,6,Many,
162,/gpfs/scratch/hc4549/weather/162/20130302_040831.jpg,23,train,41.9797,-88.4061,3,18,Medium,
623,/gpfs/scratch/hc4549/weather/623/20130207_221155.jpg,49,train,29.272958,-94.85084,2,13,Many,
4181,/gpfs/scratch/hc4549/weather/4181/20131105_103038.jpg,43,train,32.231328037,-110.946649929,11,1,Many,
5020,/gpfs/scratch/hc4549/weather/5020/20140713_061538.jpg,44,train,-30.0342535017,-51.2312071242,7,4,Many,
